年份,节日,主题,数据点,数值,单位,单位粒度,统计起止日,统计窗口,口径版本,指标口径类型,口径类型,数据性质,基期,假期天数,数值类型,采集日期,缺口标记,来源机构,报告/资料名,发布时间,可信度等级,URL,备注
2025,十一,旅行社,非一线城市欧洲跟团游同比,140,%,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,平台订单,平台自披露,实际,同比,8,增长率,2026-08-21,,同程旅行,国庆中秋假期出游报告,2025-10-09,C,http://www.ce.cn/cysc/newmain/yc/jsxw/202510/t20251010_2509708.shtml,超过140%；下沉市场偏好集中释放
2025,十一,旅行社,非一线城市美洲跟团游同比,32,%,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,平台订单,平台自披露,实际,同比,8,增长率,2026-08-21,,同程旅行,国庆中秋假期出游报告,2025-10-09,C,http://www.ce.cn/cysc/newmain/yc/jsxw/202510/t20251010_2509708.shtml,同比增长超过32%
2025,十一,景区目的地,上海接待游客,2548.5,万人次,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,城市消费,官方总量,实际,同比,8,水平值,2026-08-21,,上海旅游大数据监测(市政府),国庆中秋假日上海接待游客2548.5万人次,PUB,A,https://www.shanghai.gov.cn/nw31406/20251009/d3a47b3160214af28f1a60ff35f1d9ab.html,同比+19.74%；宾馆旅馆平均出租率63.70%(+3.9pp)
2025,十一,景区目的地,北京接待游客,2509.4,万人次,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,城市消费,官方总量,实际,同比,8,水平值,2026-08-21,,北京市文化和旅游局(新华网),国庆中秋假期北京游客接待量双增长,2025-10-08,A,http://www.news.cn/20251008/12d5f8067c824b518ae14e5b178586d5/c.html,同比+3.6%
2025,十一,景区目的地,北京旅游总花费,316.5,亿元,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,城市消费,官方总量,实际,同比,8,水平值,2026-08-21,,北京市文化和旅游局(新华网),国庆中秋假期北京游客接待量双增长,2025-10-08,A,http://www.news.cn/20251008/12d5f8067c824b518ae14e5b178586d5/c.html,同比+4.7%
2025,十一,景区目的地,广东接待游客,6517.6,万人次,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,城市消费,官方总量,实际,较2024(7天),8,水平值,2026-08-21,,广东省文化和旅游厅(央视),全国多个省份公布国庆中秋假期成绩单,2025-10-09,B,http://big5.cctv.com/gate/big5/news.cctv.cn/2025/10/09/ARTIsEk7JwGycd1U5f2Uym11251009.shtml,较2024国庆7天+11.5%；4A及以上景区接待2421.9万人次
2025,十一,景区目的地,广东旅游收入,613.2,亿元,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,城市消费,官方总量,实际,较2024(7天),8,水平值,2026-08-21,,广东省文化和旅游厅(央视),全国多个省份公布国庆中秋假期成绩单,2025-10-09,B,http://big5.cctv.com/gate/big5/news.cctv.cn/2025/10/09/ARTIsEk7JwGycd1U5f2Uym11251009.shtml,较2024国庆7天+14.2%
2025,十一,景区目的地,江苏接待国内游客,6075.15,万人次,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,城市消费,官方总量,实际,同比,8,水平值,2026-08-21,,江苏省文化和旅游厅,国庆中秋假日江苏文旅市场情况,2025-10-09,A,https://www.mct.gov.cn/whzx/qgwhxxlb/js/202510/t20251009_962534.htm,同比+24.48%
2025,十一,景区目的地,江苏游客总花费,644.93,亿元,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,城市消费,官方总量,实际,同比,8,水平值,2026-08-21,,江苏省文化和旅游厅,国庆中秋假日江苏文旅市场情况,2025-10-09,A,https://www.mct.gov.cn/whzx/qgwhxxlb/js/202510/t20251009_962534.htm,同比+23.73%；全国省份旅游收入第一
2025,十一,景区目的地,河南接待游客,8136.3,万人次,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,城市消费,官方总量,实际,较去年同期,8,水平值,2026-08-21,,河南省文化和旅游厅,2025年河南国庆中秋假期文旅市场综述,2025-10-09,A,http://www.mct.gov.cn/whzx/qgwhxxlb/hn/202510/t20251009_962527.htm,受降雨影响，为去年同期89.1%(同比-10.9%)
2025,十一,景区目的地,河南旅游收入,539.1,亿元,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,城市消费,官方总量,实际,较去年同期,8,水平值,2026-08-21,,河南省文化和旅游厅,2025年河南国庆中秋假期文旅市场综述,2025-10-09,A,http://www.mct.gov.cn/whzx/qgwhxxlb/hn/202510/t20251009_962527.htm,为去年同期83.4%(同比-16.6%)；降雨影响
2025,十一,景区目的地,湖北A级景区接待游客,2036.34,万人次,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,城市消费,官方总量,实际,同比,8,水平值,2026-08-21,,湖北省文化和旅游厅,2025年国庆中秋假日湖北省文化和旅游市场情况,2025-10-08,A,http://wlt.hubei.gov.cn/bmdt/dtyw/202510/t20251008_5784391.shtml,同比+12.9%；星级饭店平均出租率69.7%(+6.5pp)
2025,十一,游客画像,假期出行客单价同比(飞猪),14.6,%,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,平台订单,平台自披露,实际,同比,8,增长率,2026-08-21,,飞猪,双节旅游消费盘点,2025-10-09,C,http://travel.china.com.cn/txt/2025-10/11/content_118118148.shtml,95后预订人次占比最高；该平台自身口径
2025,十一,游客画像,出境包车游订单同比(携程),120,%,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,平台订单,平台自披露,实际,同比,8,增长率,2026-08-21,,携程,2025国庆中秋双节旅游报告,2025-10-08,C,http://www.100ec.cn/detail--6652628.html,出境化深度化；该平台自身口径
2025,十一,游客画像,国内长途游订单占比提升,3,个百分点,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,平台订单,平台自披露,实际,同比,8,增长率,2026-08-21,,携程,2025国庆中秋双节旅游报告,2025-10-08,C,http://www.news.cn/travel/20251009/c1a67b2aab8742729cf12526e596ba75/c.html,该平台自身口径，非全市场
2025,十一,游客画像,夜游搜索热度环比(携程),200,%,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,平台订单,平台自披露,实际,环比,8,增长率,2026-08-21,,携程,双节旅游消费盘点,2025-10-09,C,http://travel.china.com.cn/txt/2025-10/11/content_118118148.shtml,浦东美术馆/南京博物院夜间场次+超5倍；该平台口径
2025,十一,跨年可比,2024国庆出游日均(推算=7.65/7),1.09,亿人次/天,水平值,2024-10-01至2024-10-07,7天,7天-口径,旅游总花费,测算口径,推算,同比,7,水平值,2026-08-21,缺口-测算,测算(基于文旅部数据),本报告推算,2026-08-21,D,https://www.gov.cn/lianbo/bumen/202510/content_7043743.htm,per-day等效值
2025,十一,跨年可比,2024国庆国内出游总花费(7天),7008.17,亿元,水平值,2024-10-01至2024-10-07,7天,7天-口径,旅游总花费,文旅部7天口径,实际,同比,7,水平值,2026-08-21,,文化和旅游部(据2025发布反推),国庆中秋假期文化和旅游市场情况,2025-10-09,D,https://www.gov.cn/lianbo/bumen/202510/content_7043743.htm,=8090.06-1081.89；2024为7天
2025,十一,跨年可比,2024国庆国内旅游出游人次(7天),7.65,亿人次,水平值,2024-10-01至2024-10-07,7天,7天-口径,旅游总花费,文旅部7天口径,实际,同比,7,水平值,2026-08-21,,文化和旅游部(据2025发布反推),国庆中秋假期文化和旅游市场情况,2025-10-09,D,https://www.gov.cn/lianbo/bumen/202510/content_7043743.htm,=8.88-1.23；2024为7天，跨年对比须per-day折算
2025,十一,跨年可比,2024国庆总花费日均(推算=7008.17/7),1001.17,亿元/天,水平值,2024-10-01至2024-10-07,7天,7天-口径,旅游总花费,测算口径,推算,同比,7,水平值,2026-08-21,缺口-测算,测算(基于文旅部数据),本报告推算,2026-08-21,D,https://www.gov.cn/lianbo/bumen/202510/content_7043743.htm,per-day等效值
2025,十一,跨年可比,2026全年国内出游人次(全年预计),57,亿人次,水平值,2026-10-01至2026-10-07(预计),7天(预计),预测台账,旅游总花费,预测,预计,较2025,7,水平值,2026-08-21,预判待回填,本报告预测,2025十一前瞻台账,2026-08-21,D,https://www.gov.cn/lianbo/bumen/202510/content_7043743.htm,预测ID=2026全年-F01；中心值+区间+置信度;须per-day折算后回看;非实测
2025,十一,跨年可比,2026十一国内出游人次(7天预计),7.6,亿人次,水平值,2026-10-01至2026-10-07(预计),7天(预计),预测台账,旅游总花费,预测,预计,较2025,7,水平值,2026-08-21,预判待回填,本报告预测,2025十一前瞻台账,2026-08-21,D,https://www.gov.cn/lianbo/bumen/202510/content_7043743.htm,预测ID=2026十一-F01；中心值+区间+置信度;须per-day折算后回看;非实测
2025,十一,跨年可比,2026十一国内出游总花费(7天预计),7200,亿元,水平值,2026-10-01至2026-10-07(预计),7天(预计),预测台账,旅游总花费,预测,预计,较2025,7,水平值,2026-08-21,预判待回填,本报告预测,2025十一前瞻台账,2026-08-21,D,https://www.gov.cn/lianbo/bumen/202510/content_7043743.htm,预测ID=2026十一-F02；中心值+区间+置信度;须per-day折算后回看;非实测
2025,十一,跨年可比,出游人次per-day同比(2025 vs 2024),1.6,%,水平值,2025vs2024,8天vs7天,8天vs7天-口径,旅游总花费,测算口径,推算,同比,8,水平值,2026-08-21,缺口-测算,测算(基于文旅部数据),本报告推算,2026-08-21,D,https://www.gov.cn/lianbo/bumen/202510/content_7043743.htm,=1.11/1.09-1；8天与7天已per-day归一，非未折算绝对增量
2025,十一,跨年可比,出游总花费per-day同比(2025 vs 2024),1.0,%,水平值,2025vs2024,8天vs7天,8天vs7天-口径,旅游总花费,测算口径,推算,同比,8,水平值,2026-08-21,缺口-测算,测算(基于文旅部数据),本报告推算,2026-08-21,D,https://www.gov.cn/lianbo/bumen/202510/content_7043743.htm,=1011.26/1001.17-1；per-day归一
2025,十一,酒店,上海宾馆旅馆平均客房出租率,63.70,%,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,酒店经营,官方总量,实际,同比,8,水平值,2026-08-21,,上海旅游大数据监测(市政府),国庆中秋假日上海接待游客2548.5万人次,2025-10-09,A,https://www.shanghai.gov.cn/nw31406/20251009/d3a47b3160214af28f1a60ff35f1d9ab.html,同比+3.9个百分点
2025,十一,酒店,华住集团ADR,393,元,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,酒店经营,平台自披露,实际,同比,8,水平值,2026-08-21,,华住集团(xueqiu),国庆酒店市场表现,2025-10-12,C,https://ai.xueqiu.com/4692149509/356180357,同比+4%
2025,十一,酒店,华住集团OCC,88.2,%,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,酒店经营,平台自披露,实际,同比,8,水平值,2026-08-21,,华住集团(xueqiu),国庆酒店市场表现,2025-10-12,C,https://ai.xueqiu.com/4692149509/356180357,同比+1.1个百分点
2025,十一,酒店,华住集团RevPAR,346.6,元,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,酒店经营,平台自披露,实际,同比,8,水平值,2026-08-21,,华住集团(xueqiu),国庆酒店市场表现,2025-10-12,C,https://ai.xueqiu.com/4692149509/356180357,同比+5.1%
2025,十一,酒店,华住集团假期接待人次,1055,万人次,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,酒店经营,平台自披露,实际,同比,8,水平值,2026-08-21,,华住集团(华夏时报),2025年超级黄金周酒店业观察,2025-10-10,C,http://m.toutiao.com/group/7559965122895151662/,同比+36%；外宾5.7万(+75%)；整体入住率超80%，10.3高峰超98%，8100+门店满房
2025,十一,酒店,国内热门城市酒店预订量同比(去哪儿),20,%,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,酒店经营,平台自披露,实际,同比,8,增长率,2026-08-21,,去哪儿,长假游观察,2025-10-09,C,https://tidenews.com.cn/news.html?id=3268443,超过两成；该平台自身口径
2025,十一,酒店,锦江(中国区)假期接待人次,1300,万人次,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,酒店经营,平台自披露,实际,同比,8,水平值,2026-08-21,,锦江酒店(华夏时报),2025年超级黄金周酒店业观察,2025-10-10,C,http://m.toutiao.com/group/7559965122895151662/,同比+30%；华住+锦江合计接待冲破2350万人次
2026,春节,交通出行,全社会跨区域人员流动单日峰值,3.8,亿人次,总量,2026-02-22,(2026-02-22 正月初六),9天口径,交通流动量,实测,实际,历史峰值,9天口径,水平值,2026-08-21,无,交通运输部,春节假期超28亿人次出行(央视网),2026-02-24,A,https://news.cctv.cn/2026/02/24/ARTIFzp0xk6fW3ApP19nxUco260224.shtml,正月初六单日3.8亿人次，单日峰值创历史新高
2026,春节,交通出行,全社会跨区域人员流动量(春节9天),28.08,亿人次,总量,2026-02-15,2026-02-15至2026-02-23(9天),9天口径,交通流动量,实测,实际,2025春节日均,9天口径,水平值,2026-08-21,无,交通运输部,2026年春节假期交通出行活力澎湃(新华社),2026-02-24,A,https://app.xinhuanet.com/news/article.html?articleId=3fa285c3e4b292af6bad58b1bd62d57d,日均3.11亿，同比+8.2%，创历史新高
2026,春节,交通出行,"公路人员流动量(春节假期,含自驾)",26.5,亿人次,总量,2026-02-15,2026-02-15至2026-02-23(9天),9天口径,交通流动量,实测,实际,无,9天口径,水平值,2026-08-21,无,交通运输部,春节假期超28亿人次出行(央视网),2026-02-24,A,https://news.cctv.cn/2026/02/24/ARTIFzp0xk6fW3ApP19nxUco260224.shtml,26.5亿人次选择公路出行，自驾出行占比86%；{公路人员流动量}≠{p公共客运量}，与铁/民/水分列
2026,春节,交通出行,春运40天全社会跨区域人员流动量,94.1,亿人次,总量,2026-02-02至2026-03-13,春运40天(2026-02-02至03-13),春运口径,交通流动量,实测,实际,2025春运,40天口径,水平值,2026-08-21,无,交通运输部,2026年春运圆满收官 94亿人次奔赴美好,2026-03-15,A,https://www.mot.gov.cn/xinwen/jiaotongyaowen/202603/t20260316_4201909.html,日均2.35亿，较2025春运+4.3%，创历史新高
2026,春节,交通出行,春运民航客运量,9439,万人次,总量,2026-02-02至2026-03-13,春运40天,春运口径,交通客运,实测,实际,2025春运,40天口径,水平值,2026-08-21,无,中国民航局,2026年春运圆满收官(交通运输部),2026-03-16,A,https://www.mot.gov.cn/xinwen/jiaotongyaowen/202603/t20260316_4201909.html,日均236万人次，同比+4.6%
2026,春节,交通出行,春运水路客运量,3595,万人次,总量,2026-02-02至2026-03-13,春运40天,春运口径,交通客运,实测,实际,2025春运,40天口径,水平值,2026-08-21,无,交通运输部,2026年春运圆满收官(央视网),2026-03-13,A,https://news.cctv.cn/2026/03/13/ARTISvOMlQmYBnwDjhkr5sOd260313.shtml,日均90万人次，同比+15.2%
2026,春节,交通出行,春运营业性客运量,19.5,亿人次,总量,2026-02-02至2026-03-13,春运40天,春运口径,交通客运,实测,实际,2025春运,40天口径,水平值,2026-08-21,无,交通运输部/国家发改委,2026年春运圆满收官(发改委),2026-03-16,A,https://www.ndrc.gov.cn/fggz/202603/t20260316_1404160_ext.html,同比+5.1%；营业性客运量与公路非营业性小客车(自驾)分列
2026,春节,交通出行,春运铁路客运量,5.4,亿人次,总量,2026-02-02至2026-03-13,春运40天,春运口径,交通客运,实测,实际,2025春运,40天口径,水平值,2026-08-21,无,交通运输部/国铁集团,2026年春运圆满收官(交通运输部),2026-03-16,A,https://www.mot.gov.cn/xinwen/jiaotongyaowen/202603/t20260316_4201909.html,日均1344万人次，同比+4.8%
2026,春节,交通出行,春运非营业性小客车(自驾)出行量,74.6,亿人次,总量,2026-02-02至2026-03-13,春运40天,春运口径,交通流动量,实测,实际,2025春运,40天口径,水平值,2026-08-21,无,交通运输部/国家发改委,2026年春运圆满收官(发改委),2026-03-16,A,https://www.ndrc.gov.cn/fggz/202603/t20260316_1404160_ext.html,同比+4.1%，占比约八成；自驾口径非客运量
2026,春节,交通出行,民航客运量(春节假期),2205,万人次,总量,2026-02-15,2026-02-15至2026-02-23(9天),9天口径,交通客运,实测,实际,2025春节同期9天,9天口径,水平值,2026-08-21,无,中国民航局,2026年春节9天假期民航运输旅客2205万人次(中新网),2026-02-24,A,http://www.chinanews.com.cn/sh/2026/02-24/10575781.shtml,日均245万人次，较2025春运同期(9天)日均+7.7%；保障航班17.1万班
2026,春节,交通出行,铁路发送货物(春节假期),8538,万吨,总量,2026-02-15,2026-02-15至2026-02-23(9天),9天口径,交通货运,实测,实际,2025春节,9天口径,水平值,2026-08-21,无,国铁集团,史上最长春节假期铁路客货运量双增长,2026-02-24,A,http://railway.china.com.cn/2026-02/25/content_118345561.shtml,同比+0.5%；客货运输量质齐升
2026,春节,交通出行,铁路客运量(春节假期),1.21,亿人次,总量,2026-02-15,2026-02-15至2026-02-23(9天),9天口径,交通客运,实测,实际,2025春节,9天口径,水平值,2026-08-21,无,国铁集团,史上最长春节假期铁路客货运量双增长(中国网),2026-02-24,A,http://railway.china.com.cn/2026-02/25/content_118345561.shtml,"春节假期(腊月二十八至正月初七)累计发送旅客1.21亿,同比+11.5%；系春运集帝，非春节全称口径"
2026,春节,政策与宏观,78个重点步行街(商圈)客流量/营业额同比,+6.7/+7.5,复合,复合,2026-02-15,2026-02-15至2026-02-23(9天),日均口径,零售餐饮,实测,实际,2025春节,9天口径,复合,2026-08-21,无,商务部(重点监测),新闻联播:春节假期消费市场人气足,2026-02-25,A,https://tv.cctv.cn/2026/02/25/VIDEuMSEpFezxrPQOjr1mmrT260225.shtml,客流量+6.7%、营业额+7.5%
2026,春节,政策与宏观,全国重点零售和餐饮企业日均销售额同比(较2025春节),+5.7,%,比率,2026-02-15,2026-02-15至2026-02-23(9天),日均口径,零售餐饮,实测,实际,2025春节,9天口径,增速,2026-08-21,无,商务部(商务大数据监测),新闻联播:春节假期消费市场人气足,2026-02-25,A,https://tv.cctv.cn/2026/02/25/VIDEuMSEpFezxrPQOjr1mmrT260225.shtml,重点监测企业日均销售额较2025春节+5.7%，增速加快1.6pct；商务大数据口径
2026,春节,政策与宏观,消费品以旧换新惠及人数(截至2/22),3053.2,万人次,总量,截至2026-02-22,(截至2026-02-22),累计口径,零售餐饮,实测,实际,无,9天口径,水平值,2026-08-21,无,商务部,马年春节消费迎开门红(新浪),2026-02-24,A,https://finance.sina.com.cn/tech/roll/2026-02-24/doc-inhnxnuh8712379.shtml,以旧换新两大礼包；与春节假期消费提振政策互促
2026,春节,政策与宏观,消费相关行业日均销售收入同比(增值税发票),+13.7,%,比率,2026-02-15,2026-02-15至2026-02-23(9天),日均口径,零售餐饮,实测,实际,2025春节,9天口径,增速,2026-08-21,无,国家税务总局,增值税发票数据显示春节假期消费市场火热,2026-02-24,A,https://www.gov.cn/lianbo/202602/content_7059059.htm,日均口径较上年春节+13.7%；消费产品凸显智慧化绿色化
2026,春节,新消费,"全国外卖市场规模(春节,平台汇总)",980,亿元,总量,2026-02-15,2026-02-15至2026-02-23(9天),9天口径,外卖消费,平台披露,实际,2025春节,9天口径,水平值,2026-08-21,无,美团等平台,史上最长春节餐饮业成绩单(职业餐饮网),2026-02-25,C,http://www.canyin168.com/Article/xw/81183.html,同比增长26.7%；广东乡镇外卖订单+72%，下沉市场扩张；平台汇总口径
2026,春节,新消费,非遗“市集”/“演艺”团购销售额同比,+764/+117,复合,复合,2026-02-15,2026-02-15至2026-02-23(9天),9天口径,非遗消费,平台披露,实际,2025春节,9天口径,复合,2026-08-21,无,抖音生活服务,央视网:新春消费观察(非遗经济),2026-02-24,C,https://finance.cctv.com/2026/02/24/ARTIUFiiWySbdA8thUzu2nVv260224.shtml,非遗市集+764%、非遗演艺+117%；抖音自身口径，非全市场；与文旅部“非遗过大年”定性交叉印证
2026,春节,新消费,飞猪AI订单量较节前,+800,%,比率,2026-02-15,2026-02-15至2026-02-23(9天),9天口径,AI消费,平台披露,实际,节前平均,9天口径,增速,2026-08-21,无,飞猪,央视网:新春消费观察(AI当管家),2026-02-24,C,https://finance.cctv.com/2026/02/24/ARTIUFiiWySbdA8thUzu2nVv260224.shtml,AI订门票订单量大增超24倍；该平台自身口径非全市场；与税务总局“智能化绿色化”交叉印证
2026,春节,旅游行业平台,同程春节国内出游人数预订量同比,+300,%,比率,2026-02-15,2026-02-15至2026-02-23(9天),9天口径,平台订单,平台披露,实际,2025春节,9天口径,增速,2026-08-21,无,同程旅行,OTA报告中的春节风向标(读创),2026-02-20,C,http://m.toutiao.com/group/7601067704136647211/,平台口径，非全市场；出游人数预订量激增来源识别为同程披露
2026,春节,旅游行业平台,携程入境机票日均订单同比,+21.29,%,比率,2026-02-15,2026-02-15至2026-02-23(9天),9天口径,跨境,平台披露,实际,2025春节,9天口径,增速,2026-08-21,无,携程,人民网:多平台出行数据折射消费活力,2026-02-25,C,http://finance.people.com.cn/n1/2026/0225/c1004-40670073.html,平台口径；入境游订单增长强劲
2026,春节,旅游行业平台,飞猪出境游机票/酒店/当地玩乐订单同比,+30,%,比率,2026-02-15,2026-02-15至2026-02-23(9天),9天口径,跨境,平台披露,实际,2025春节,9天口径,增速,2026-08-21,无,飞猪,华泰联合解读:2026春节消费亮点,2026-02-25,C,https://finance.sina.com.cn/stock/stockzmt/2026-02-25/doc-inhnyyvs5260344.shtml,假期前三天出境游机票/当地玩乐订单较去年同比增超30%；平台口径
2026,春节,旅游行业平台,飞猪国内门票订单量同比,+80,%,比率,2026-02-15,2026-02-15至2026-02-23(9天),9天口径,平台订单,平台披露,实际,2025春节,9天口径,增速,2026-08-21,无,飞猪,飞猪2026春节出游数据(齐鲁网),2026-02-25,C,http://news.iqilu.com/yangmei/20260225/5893720.shtml,该平台自身口径，非全市场；国内游订单量创新高
2026,春节,旅游行业平台,飞猪酒店间夜量同比,+75,%,比率,2026-02-15,2026-02-15至2026-02-23(9天),9天口径,平台订单,平台披露,实际,2025春节,9天口径,增速,2026-08-21,无,飞猪,飞猪2026春节出游数据(齐鲁网),2026-02-25,C,http://news.iqilu.com/yangmei/20260225/5893720.shtml,平台口径；国内游人均预订金额较去年提升约10%
2026,春节,旅行社,6人游出境游整体预订量同比,+约50,%,比率,2026-02-15,2026-02-15至2026-02-23(9天),9天口径,跟团游,平台披露,实际,2025春节,9天口径,增速,2026-08-21,无,6人游(定制旅行),“最长”春节带火出境游(中新网),2026-01-13,C,http://www.chinanews.com.cn/cj/2026/01-13/10550709.shtml,长线游热度更高，短线转向中长线；单机构口径
2026,春节,旅行社,众信旅游短途/长途出境游出游人数同比,+160/+60,复合,复合,2026-02-15,2026-02-15至2026-02-23(9天),9天口径,跟团游,平台披露,实际,2025春节,9天口径,复合,2026-08-21,无,众信旅游,旅行社春节复工复产数据(研报/公开播报),2026-02-20,C,https://www.docin.com/touch_new/preview_new.do?id=4936424364,短线+160%、长线+60%；单机构口径，非全市场
2026,春节,旅行社,途牛入境定制游订单量同比,+130,%,比率,2026-02-15,2026-02-15至2026-02-23(9天),9天口径,跟团游,平台披露,实际,2025春节,9天口径,增速,2026-08-21,无,途牛,中国城市报:团圆方式迭代(平台赋能),2026-03-02,C,http://paper.people.com.cn/zgcsb/pad/content/202603/02/content_30143049.html,入境定制游订单+130%，联动景区提体验；平台/机构口径
2026,春节,景区数据,春节档三、四线城市票房占比,54,%,比率,2026-02-17至2026-02-23,春节档(初一至初七),春节档口径,文娱演出,实测,实际,历年最高,7天口径,占比,2026-08-21,无,国家电影局,2026春节档市场火热 中国电影领跑全球(中新网),2026-02-24,A,http://m.chinanews.com/wap/detail/cht/zw/10577409.shtml,三四线城市票房占比54%，为历年最高；下沉市场结构特征
2026,春节,景区数据,春节档平均票价,47.8,元,总量,2026-02-17至2026-02-23,春节档(初一至初七),春节档口径,文娱演出,实测,实际,2025春节档,7天口径,水平值,2026-08-21,无,国家电影局,2026年春节档平均票价降至6年最低,2026-02-24,A,https://www.chinafilm.gov.cn/xwzx/ywxx/202602/t20260224_954180.html,平均票价同比下降6%，票价更惠民
2026,春节,景区数据,春节档总场次,435,万场,总量,2026-02-17至2026-02-23,春节档(初一至初七),春节档口径,文娱演出,实测,实际,历史纪录,7天口径,水平值,2026-08-21,无,国家电影局,435万场，春节档观影场次创纪录,2026-02-24,A,https://www.chinafilm.gov.cn/xwzx/ywxx/202602/t20260224_954180.html,创中国影史春节档总场次纪录
2026,春节,景区数据,春节档电影票房,57.52,亿元,总量,2026-02-17至2026-02-23,春节档(初一至初七),春节档口径,文娱演出,实测,实际,2025春节档,7天口径,水平值,2026-08-21,无,国家电影局,2026年春节档总票房57.52亿元,2026-02-24,A,https://www.chinafilm.gov.cn/xwzx/ywxx/202602/t20260224_954180.html,春节档=大年初一至初七(7天)；场均票价格局见R13
2026,春节,景区数据,春节档观影人次,1.2,亿人次,总量,2026-02-17至2026-02-23,春节档(初一至初七),春节档口径,文娱演出,实测,实际,2025春节档,7天口径,水平值,2026-08-21,无,国家电影局,2026年春节档总票房57.52亿元,2026-02-24,A,https://www.chinafilm.gov.cn/xwzx/ywxx/202602/t20260224_954180.html,春节档7天
2026,春节,游客画像,"2025国内出游总花费日均水平(测算,per-day)",846.25,亿元/天,日均,2025-01-28至2025-02-04,2025春节(8天),日均口径,旅游收入,测算,推算,无,8天口径,水平值,2026-08-21,缺口-测算,测算(=6770.02亿元/8天),派生,2025-02-05,D,https://www.mct.gov.cn/wlbphone/wlbydd/xxfb/jiaodianxinwen/202502/t20250205_958229.html,测算D级；作per-day同比基期
2026,春节,游客画像,"2025国内出游日均水平(测算,per-day)",0.626,亿人次/天,日均,2025-01-28至2025-02-04,2025春节(8天),日均口径,出游规模,测算,推算,无,8天口径,水平值,2026-08-21,缺口-测算,测算(=5.01亿/8天),派生,2025-02-05,D,https://www.mct.gov.cn/wlbphone/wlbydd/xxfb/jiaodianxinwen/202502/t20250205_958229.html,测算D级；作per-day同比基期
2026,春节,游客画像,"2025春节人均旅游消费(per-trip,测算)",1351.30,元/人次,人均trip,2025-01-28至2025-02-04,2025春节(8天),8天口径,旅游收入,测算,推算,无,8天口径,水平值,2026-08-21,缺口-测算,测算(=6770.02亿元/5.01亿人次),派生自文旅部2025数据,2025-02-05,D,https://www.mct.gov.cn/wlbphone/wlbydd/xxfb/jiaodianxinwen/202502/t20250205_958229.html,测算D级；供R06 per-trip同比
2026,春节,游客画像,2026全年国内旅游出游人次(中长期预测),有望突破60(区间58-63),亿人次,总量,2026全年,2026全年口径(待回填),全年口径(待回填),出游规模,测算,预计,无,365天口径,水平值,2026-08-21,预判待回填,基于2026春节per-day稳态+免签入境走强+冰雪/新消费的推断,2026春节预测台账,2026-08-21,D,https://www.gov.cn/yaowen/liebiao/202602/content_7059241.htm,预测ID=2026全年-F01；置信度中低；拐点判据：2026五一/端午/十一是否保持中个位数per-day增速
2026,春节,游客画像,"2026国内出游总花费日均水平(测算,per-day)",892.76,亿元/天,日均,2026-02-15,2026-02-15至2026-02-23(9天),日均口径,旅游收入,测算,推算,2025日均,9天口径,水平值,2026-08-21,缺口-测算,测算(=8034.83亿元/9天),派生,2026-02-24,D,https://www.gov.cn/yaowen/liebiao/202602/content_7059241.htm,测算D级；per-day同比2025(846.25亿/天)约+5.5%
2026,春节,游客画像,"2026国内出游日均水平(测算,per-day)",0.662,亿人次/天,日均,2026-02-15,2026-02-15至2026-02-23(9天),日均口径,出游规模,测算,推算,2025日均,9天口径,水平值,2026-08-21,缺口-测算,测算(=5.96亿/9天),派生,2026-02-24,D,https://www.gov.cn/yaowen/liebiao/202602/content_7059241.htm,测算D级；per-day同比2025(0.626亿/天)约+5.7%
